index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1024.0,2023-01-21 07:15:59.999,,,0.0,0.0,,,2.3955,6.2490000000000006,14852.3,1753.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1025.0,2023-01-21 07:16:59.999,,,0.0,0.0,,,2.3955,6.2475000000000005,7826.8,694.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1026.0,2023-01-21 07:17:59.999,,,0.0,0.0,,,2.3965,6.2445,7387.0,1123.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1027.0,2023-01-21 07:18:59.999,,,0.0,0.0,,,2.3955,6.2415,2160.0,598.17,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1028.0,2023-01-21 07:19:59.999,,,0.0,0.0,,,2.3965,6.2415,32470.1,5675.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1029.0,2023-01-21 07:20:59.999,,,0.0,0.0,,,2.3975,6.2455,20011.0,6763.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1030.0,2023-01-21 07:21:59.999,,,0.0,0.0,,,2.407,6.2515,77189.1,1263.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1031.0,2023-01-21 07:22:59.999,,,0.0,0.0,,,2.42,6.2565,76419.9,996.73,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1032.0,2023-01-21 07:23:59.999,,,0.0,0.0,,,2.4255,6.26,122802.0,2523.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1033.0,2023-01-21 07:24:59.999,,,0.0,0.0,,,2.4210000000000003,6.261,21978.7,6035.17,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1034.0,2023-01-21 07:25:59.999,,,0.0,0.0,,,2.4195,6.261,39336.5,4280.14,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1035.0,2023-01-21 07:26:59.999,,,0.0,0.0,,,2.422,6.263,32165.6,1027.05,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
